start,O'Connor
-35.0254,117.9172
-35.0254,117.9190
-35.0357,117.9195
-35.0268,117.8595
-35.0448,117.8482
-35.0844,117.9092
-35.0728,117.9278
-35.0535,117.9103
-35.0408,117.9203
-35.0434,117.9215
-35.0443,117.9189
-35.0509,117.9188
-35.0537,117.9234
-35.0563,117.9243
-35.0568,117.9276
-35.0716,117.9344
-35.0881,117.9390
-35.0887,117.9419
-35.0916,117.9435
-35.0927,117.9473
-35.0910,117.9516
-35.0954,117.9581
-35.0939,117.9638
-35.0962,117.9689
-35.0948,117.9723
-35.0963,117.9791
-35.0927,117.9841
-35.0919,117.9935
-35.0904,117.9958
-35.0881,117.9959
-35.0875,118.0022
-35.1079,118.0212
-35.1065,118.0146
-35.1032,118.0118
-35.1044,118.0117
-35.1042,118.0100
-35.1009,118.0091
-35.0988,118.0059
-35.0982,117.9960
-35.1009,117.9950
-35.0982,117.9918
-35.0986,117.9761
-35.1017,117.9732
-35.1014,117.9685
-35.1040,117.9672
-35.1070,117.9682
-35.1282,117.9482
-35.1234,117.9456
-35.1215,117.9471
-35.1206,117.9441
-35.1146,117.9408
-35.1188,117.9208
-35.1162,117.9207
-35.1146,117.9044
-35.1164,117.9004
-35.1181,117.8993
-35.1230,117.9007
-35.1234,117.8988
-35.1176,117.8898
-35.1160,117.8911
-35.1141,117.8902
-35.1126,117.8856
-35.1100,117.8855
-35.1072,117.8758
-35.1080,117.8683
-35.1019,117.8602
-35.0980,117.8515
-35.0948,117.8515
-35.0836,117.8317
-35.0619,117.7830
-35.0545,117.7621
-35.0466,117.7267
-35.0448,117.7093
-35.0466,117.7081
-35.0433,117.6855
-35.0443,117.6757
-35.0511,117.6655
-35.0564,117.6513
-35.0621,117.6446
-35.0686,117.6436
-35.0729,117.6479
-35.0757,117.6475
-35.0762,117.6490
-35.0837,117.6513
-35.0861,117.6495
-35.0850,117.6428
-35.0886,117.6371
-35.0935,117.6359
-35.0990,117.6378
-35.1039,117.6334
-35.1052,117.6343
-35.1072,117.6328
-35.1085,117.6298
-35.1128,117.6284
-35.1344,117.6396
-35.1343,117.6374
-35.1304,117.6347
-35.1277,117.6293
-35.1286,117.6255
-35.1308,117.6267
-35.1338,117.6249
-35.1304,117.6196
-35.1299,117.6152
-35.1325,117.6138
-35.1333,117.6112
-35.1193,117.6080
-35.1153,117.6055
-35.1105,117.5973
-35.1077,117.5958
-35.1030,117.5870
-35.1029,117.5840
-35.1012,117.5841
-35.0953,117.5753
-35.0825,117.5486
-35.0742,117.5250
-35.0763,117.5220
-35.0746,117.5143
-35.0889,117.4852
-35.0865,117.4836
-35.0827,117.4852
-35.0825,117.4829
-35.0795,117.4856
-35.0773,117.4803
-35.0735,117.4791
-35.0543,117.4413
-35.0543,117.4387
-35.0508,117.4349
-35.0319,117.3974
-35.0306,117.3879
-35.0264,117.3803
-35.0243,117.3707
-35.0195,117.3628
-35.0202,117.3585
-35.0217,117.3578
-35.0204,117.3487
-35.0228,117.3324
-34.9981,117.3957
-35.0216,117.4284
-35.0205,117.4657
-35.0100,117.4515
-34.9935,117.4795
-34.9669,117.4551
-34.9860,117.4290
-34.9694,117.3691
-34.9930,117.3547
-34.9937,117.3342
-35.0434,117.3261
