start,Banks
-33.2242,150.5315
-33.2275,150.5296
-33.2333,150.5299
-33.2368,150.5258
-33.2389,150.5257
-33.2401,150.5331
-33.2446,150.5349
-33.2480,150.5397
-33.2559,150.5439
-33.2573,150.5492
-33.2541,150.5550
-33.2569,150.5603
-33.2653,150.5625
-33.2656,150.5542
-33.2718,150.5523
-33.2748,150.5532
-33.2806,150.5573
-33.2896,150.5755
-33.2908,150.5661
-33.2889,150.5607
-33.2907,150.5575
-33.2940,150.5568
-33.2981,150.5652
-33.3063,150.5667
-33.3124,150.5603
-33.3111,150.5515
-33.3152,150.5515
-33.3182,150.5541
-33.3203,150.5596
-33.3206,150.5694
-33.3224,150.5749
-33.3207,150.5806
-33.3219,150.5837
-33.3253,150.5855
-33.3306,150.5820
-33.3339,150.5846
-33.3373,150.5913
-33.3428,150.5903
-33.3430,150.5827
-33.3476,150.5807
-33.3514,150.5809
-33.3521,150.5769
-33.3578,150.5747
-33.3556,150.5666
-33.3596,150.5666
-33.3611,150.5607
-33.3661,150.5588
-33.3659,150.5550
-33.3688,150.5496
-33.3639,150.5487
-33.3636,150.5471
-33.3665,150.5450
-33.3634,150.5410
-33.3676,150.5407
-33.3664,150.5359
-33.3691,150.5338
-33.3707,150.5282
-33.3756,150.5256
-33.3737,150.5203
-33.3777,150.5165
-33.3749,150.5121
-33.3791,150.5090
-33.3755,150.5054
-33.3782,150.5011
-33.3768,150.4976
-33.3792,150.4933
-33.3773,150.4891
-33.3814,150.4886
-33.3827,150.4823
-33.3840,150.4824
-33.3867,150.4878
-33.3911,150.4833
-33.3973,150.4850
-33.3967,150.4782
-33.3989,150.4757
-33.4032,150.4797
-33.4048,150.4775
-33.4087,150.4803
-33.4130,150.4787
-33.4149,150.4803
-33.4183,150.4780
-33.4214,150.4795
-33.4228,150.4775
-33.4252,150.4784
-33.4275,150.4769
-33.4297,150.4791
-33.4331,150.4734
-33.4385,150.4727
-33.4493,150.4600
-33.4516,150.4663
-33.4540,150.4683
-33.4569,150.4643
-33.4560,150.4618
-33.4588,150.4512
-33.4669,150.4507
-33.4687,150.4486
-33.4706,150.4498
-33.4726,150.4476
-33.4760,150.4493
-33.4779,150.4453
-33.4801,150.4482
-33.4814,150.4474
-33.4827,150.4418
-33.4809,150.4404
-33.4821,150.4379
-33.4807,150.4366
-33.4815,150.4247
-33.4864,150.4196
-33.4865,150.4169
-33.4804,150.4147
-33.4833,150.4126
-33.4817,150.4086
-33.4790,150.4111
-33.4732,150.4085
-33.4747,150.4060
-33.4780,150.4053
-33.4767,150.4031
-33.4798,150.3997
-33.4796,150.3972
-33.4823,150.3971
-33.4829,150.4006
-33.4849,150.3989
-33.4878,150.4004
-33.4894,150.3990
-33.4847,150.3890
-33.4815,150.3894
-33.4793,150.3865
-33.4807,150.3834
-33.4876,150.3828
-33.4863,150.3756
-33.4880,150.3724
-33.4875,150.3693
-33.4910,150.3694
-33.4913,150.3654
-33.4882,150.3622
-33.4892,150.3595
-33.4867,150.3587
-33.4857,150.3548
-33.4871,150.3542
-33.4880,150.3556
-33.4906,150.3535
-33.4923,150.3484
-33.4949,150.3511
-33.4939,150.3545
-33.4959,150.3557
-33.4994,150.3536
-33.4982,150.3521
-33.5003,150.3499
-33.4990,150.3473
-33.5023,150.3470
-33.5047,150.3491
-33.5089,150.3482
-33.5094,150.3444
-33.5120,150.3423
-33.5119,150.3356
-33.5225,150.3310
-33.5201,150.3119
-33.5044,150.3146
-33.4991,150.2767
-33.4977,150.2770
-33.4972,150.2727
-33.4993,150.2723
-33.4976,150.2707
-33.4943,150.2568
-33.5181,150.2533
-33.5187,150.2576
-33.5580,150.2506
-33.5567,150.2412
-33.5604,150.2405
-33.5598,150.2363
-33.5620,150.2354
-33.5605,150.2261
-33.5495,150.2268
-33.5479,150.2156
-33.5576,150.2137
-33.5585,150.2121
-33.5603,150.2247
-33.5635,150.2274
-33.5716,150.2255
-33.5720,150.2287
-33.5750,150.2281
-33.5760,150.2352
-33.5813,150.2354
-33.5805,150.2388
-33.5932,150.2369
-33.5944,150.2448
-33.6024,150.2432
-33.6034,150.2502
-33.6091,150.2490
-33.6107,150.2602
-33.6174,150.2589
-33.6191,150.2714
-33.6229,150.2707
-33.6223,150.2664
-33.6316,150.2670
-33.6312,150.2640
-33.6416,150.2619
-33.6385,150.2405
-33.6512,150.2378
-33.6514,150.2397
-33.6557,150.2435
-33.6562,150.2468
-33.6583,150.2483
-33.6641,150.2481
-33.6654,150.2442
-33.6630,150.2313
-33.6759,150.2289
-33.6748,150.2148
-33.7085,150.2076
-33.7044,150.1810
-33.7103,150.1846
-33.7161,150.1774
-33.7199,150.1771
-33.7221,150.1791
-33.7198,150.1898
-33.7128,150.1956
-33.7132,150.1992
-33.7167,150.1991
-33.7181,150.2013
-33.7140,150.2072
-33.7212,150.2124
-33.7261,150.2097
-33.7284,150.1994
-33.7342,150.1951
-33.7329,150.1909
-33.7371,150.1881
-33.7431,150.1797
-33.7458,150.1800
-33.7501,150.1846
-33.7502,150.1918
-33.7580,150.1956
-33.7631,150.1931
-33.7666,150.1956
-33.7703,150.1909
-33.7763,150.1890
-33.7782,150.1775
-33.7846,150.1790
-33.7874,150.1762
-33.7881,150.1714
-33.7932,150.1718
-33.7951,150.1687
-33.7987,150.1719
-33.7969,150.1793
-33.8025,150.1811
-33.8164,150.1735
-33.8219,150.1740
-33.8270,150.1692
-33.8342,150.1753
-33.8338,150.1771
-33.8304,150.1786
-33.8298,150.1827
-33.8377,150.1853
-33.8416,150.1823
-33.8479,150.1818
-33.8533,150.1753
-33.8612,150.1757
-33.8650,150.1660
-33.8723,150.1705
-33.8731,150.1791
-33.8811,150.1860
-33.8799,150.1791
-33.8839,150.1786
-33.8857,150.1728
-33.8877,150.1721
-33.8890,150.1685
-33.8881,150.1648
-33.8862,150.1642
-33.8870,150.1595
-33.8933,150.1559
-33.8973,150.1591
-33.8989,150.1690
-33.9039,150.1698
-33.9124,150.1650
-33.9154,150.1652
-33.9193,150.1687
-33.9288,150.1711
-33.9343,150.1706
-33.9390,150.1752
-33.9451,150.1755
-33.9454,150.1802
-33.9500,150.1831
-33.9503,150.1903
-33.9454,150.2010
-33.9374,150.2099
-33.9363,150.2147
-33.9384,150.2187
-33.9478,150.2170
-33.9520,150.2412
-33.9614,150.2332
-33.9654,150.2371
-33.9680,150.2320
-33.9713,150.2321
-33.9740,150.2281
-33.9786,150.2285
-33.9797,150.2237
-33.9873,150.2165
-33.9897,150.2110
-33.9937,150.2088
-33.9977,150.2090
-34.0004,150.2023
-34.0049,150.2015
-34.0049,150.1947
-34.0072,150.1914
-34.0104,150.1902
-34.0118,150.1829
-34.0163,150.1829
-34.0182,150.1813
-34.0164,150.1753
-34.0228,150.1713
-34.0208,150.1691
-34.0215,150.1668
-34.0237,150.1653
-34.0256,150.1690
-34.0272,150.1693
-34.0299,150.1603
-34.0316,150.1590
-34.0332,150.1620
-34.0330,150.1672
-34.0355,150.1680
-34.0377,150.1602
-34.0340,150.1568
-34.0354,150.1546
-34.0408,150.1551
-34.0428,150.1534
-34.0436,150.1449
-34.0453,150.1470
-34.0476,150.1466
-34.0509,150.1407
-34.0571,150.1432
-34.0646,150.1428
-34.0681,150.1455
-34.0713,150.1456
-34.0733,150.1422
-34.0709,150.1379
-34.0743,150.1369
-34.0727,150.1318
-34.0735,150.1294
-34.0769,150.1279
-34.0803,150.1336
-34.0821,150.1327
-34.0793,150.1265
-34.0756,150.1233
-34.0779,150.1169
-34.0806,150.1158
-34.0890,150.1186
-34.0919,150.1176
-34.0904,150.1148
-34.0855,150.1143
-34.0849,150.109
-34.0893,150.1128
-34.0910,150.1068
-34.0930,150.1076
-34.0949,150.1117
-34.1006,150.1112
-34.1029,150.1130
-34.1093,150.1048
-34.1181,150.1052
-34.1207,150.1061
-34.1266,150.1127
-34.1309,150.1100
-34.1364,150.1132
-34.1394,150.1128
-34.1412,150.1233
-34.1439,150.1228
-34.1491,150.1250
-34.1510,150.1149
-34.1477,150.1124
-34.1462,150.1077
-34.1418,150.1045
-34.1384,150.1052
-34.1365,150.0939
-34.1310,150.0889
-34.1256,150.0894
-34.1205,150.0854
-34.1210,150.0820
-34.1264,150.0782
-34.1314,150.0710
-34.1277,150.0634
-34.1282,150.0542
-34.1259,150.0538
-34.1253,150.0494
-34.1199,150.0449
-34.1213,150.0373
-34.1169,150.0315
-34.1151,150.0210
-34.1132,150.0203
-34.1103,150.0128
-34.1064,150.0118
-34.1041,150.0065
-34.0968,150.0033
-34.0850,150.0045
-34.0839,150.0031
-34.0807,149.9769
-34.0777,149.9718
-34.0802,149.9674
-34.0792,149.9659
-34.0816,149.9630
-34.0773,149.9623
-34.0861,149.9548
-34.0861,149.9500
-34.0916,149.9448
-34.0854,149.9353
-34.0791,149.9289
-34.0854,149.9328
-34.0913,149.9316
-34.0949,149.9329
-34.0971,149.9353
-34.1000,149.9340
-34.1007,149.9352
-34.1017,149.9325
-34.1044,149.9314
-34.1163,149.9315
-34.1168,149.9350
-34.1143,149.9368
-34.1163,149.9363
-34.1172,149.9418
-34.1226,149.9443
-34.1250,149.9497
-34.1382,149.9440
-34.1423,149.9443
-34.1434,149.9427
-34.1442,149.9446
-34.1481,149.9401
-34.1494,149.9410
-34.1537,149.9368
-34.1568,149.9376
-34.1593,149.9359
-34.1652,149.9374
-34.1660,149.9356
-34.1671,149.9373
-34.1691,149.9371
-34.1679,149.9334
-34.1710,149.9332
-34.1732,149.9282
-34.1751,149.9299
-34.1746,149.9254
-34.1780,149.9242
-34.1796,149.9201
-34.1814,149.9205
-34.1832,149.9183
-34.1819,149.9165
-34.1830,149.9131
-34.1821,149.9117
-34.1835,149.9106
-34.1820,149.9036
-34.1844,149.9041
-34.1839,149.9014
-34.1867,149.9026
-34.1877,149.9016
-34.1836,149.8975
-34.1829,149.8914
-34.1804,149.8884
-34.1823,149.8857
-34.1850,149.8883
-34.1846,149.8847
-34.1870,149.8834
-34.1850,149.8781
-34.1874,149.8777
-34.1884,149.8721
-34.1856,149.8727
-34.1867,149.8702
-34.1847,149.8650
-34.1894,149.8615
-34.1863,149.8603
-34.1874,149.8562
-34.1854,149.8541
-34.187,149.8522
-34.1836,149.8498
-34.1862,149.8481
-34.1860,149.8455
-34.1893,149.8442
-34.1860,149.8431
-34.1875,149.8371
-34.1905,149.8349
-34.1905,149.8327
-34.1942,149.8313
-34.1925,149.8272
-34.1976,149.8275
-34.1963,149.8255
-34.1985,149.8229
-34.1974,149.8218
-34.1994,149.8210
-34.2010,149.8169
-34.1971,149.8143
-34.1997,149.8112
-34.1983,149.8043
-34.2023,149.8047
-34.2023,149.8004
-34.2057,149.7967
-34.2040,149.7937
-34.1996,149.7923
-34.1978,149.7820
-34.1988,149.7780
-34.1950,149.7822
-34.1935,149.7735
-34.1897,149.7692
-34.1899,149.7668
-34.1933,149.7647
-34.1942,149.7609
-34.1903,149.7564
-34.1878,149.7578
-34.1867,149.7566
-34.1911,149.7461
-34.1882,149.7412
-34.1907,149.7407
-34.1926,149.7442
-34.1941,149.7443
-34.1938,149.7363
-34.1974,149.7326
-34.1908,149.7291
-34.1894,149.7266
-34.1989,149.7247
-34.1939,149.7214
-34.1953,149.7183
-34.1902,149.7164
-34.1939,149.7157
-34.1953,149.7121
-34.1984,149.7125
-34.1956,149.7082
-34.1986,149.7050
-34.1967,149.7002
-34.2028,149.6947
-34.1935,149.6951
-34.1921,149.6936
-34.1987,149.6888
-34.1991,149.6822
-34.1955,149.6783
-34.1944,149.6809
-34.1916,149.6818
-34.1905,149.6788
-34.1876,149.6787
-34.1852,149.6758
-34.1826,149.6771
-34.1806,149.6736
-34.1781,149.6751
-34.1766,149.6739
-34.1750,149.6775
-34.1725,149.6779
-34.1723,149.6726
-34.1745,149.6691
-34.1715,149.6672
-34.1732,149.6637
-34.1641,149.6643
-34.1646,149.6620
-34.1704,149.6570
-34.1669,149.6565
-34.1631,149.6592
-34.1601,149.6591
-34.1587,149.6492
-34.1501,149.6540
-34.1462,149.6488
-34.1478,149.6468
-34.1465,149.6435
-34.1406,149.6465
-34.1400,149.6397
-34.1354,149.6435
-34.1355,149.6372
-34.1291,149.6341
-34.1288,149.6375
-34.1263,149.6383
-34.1133,149.6283
-34.1143,149.6271
-34.1272,149.6269
-34.1291,149.6241
-34.1278,149.6221
-34.1255,149.6233
-34.1194,149.6217
-34.1182,149.6174
-34.1143,149.6234
-34.1055,149.6204
-34.1071,149.6162
-34.1199,149.6103
-34.1226,149.6071
-34.1230,149.6036
-34.1218,149.6022
-34.1172,149.6021
-34.1118,149.5966
-34.1095,149.5874
-34.1055,149.5887
-34.1048,149.5868
