start,Bass
-40.8285,148.1764
-40.8209,148.1783
-40.8249,148.1826
-40.8272,148.1823
-40.8308,148.1850
-40.8394,148.1975
-40.8450,148.2107
-40.8460,148.2227
-40.8484,148.2230
-40.8552,148.2198
-40.8622,148.2197
-40.8694,148.2218
-40.8749,148.2256
-40.8782,148.2309
-40.8823,148.2326
-40.8861,148.2375
-40.8882,148.2435
-40.8868,148.2482
-40.8924,148.2619
-40.8985,148.2638
-40.9003,148.2590
-40.9045,148.2569
-40.9027,148.2514
-40.9113,148.2368
-40.9136,148.2288
-40.9198,148.2248
-40.9211,148.2212
-40.9196,148.2152
-40.9223,148.2134
-40.9261,148.2136
-40.9280,148.2162
-40.9325,148.2175
-40.9354,148.2131
-40.9378,148.2124
-40.9311,148.1863
-40.9337,148.1855
-40.9235,148.1167
-40.9422,148.1120
-40.9407,148.1036
-40.9376,148.0986
-40.9361,148.0874
-40.9378,148.0889
-40.9416,148.0855
-40.9490,148.0858
-40.9520,148.0824
-40.9537,148.0856
-40.9559,148.0845
-40.9605,148.0857
-40.9631,148.0812
-40.9683,148.0822
-40.9715,148.0784
-40.9767,148.0789
-40.9791,148.0775
-40.9815,148.0780
-40.9830,148.0806
-40.9884,148.0804
-40.9953,148.0742
-40.9976,148.0752
-40.9983,148.0787
-41.0009,148.0809
-41.0024,148.0800
-41.0056,148.0815
-41.0064,148.0793
-41.0104,148.0788
-41.0134,148.0811
-41.0154,148.0778
-41.0147,148.0744
-41.0217,148.0762
-41.0233,148.0740
-41.0307,148.0731
-41.0313,148.0710
-41.0334,148.0712
-41.0337,148.0687
-41.0422,148.0739
-41.0478,148.0732
-41.0519,148.0775
-41.0518,148.0803
-41.0570,148.0803
-41.0602,148.0820
-41.0650,148.0770
-41.0674,148.0713
-41.0720,148.0711
-41.0722,148.0697
-41.0738,148.0711
-41.0870,148.0622
-41.0959,148.0683
-41.1051,148.0626
-41.1064,148.0648
-41.1129,148.0652
-41.1173,148.0695
-41.1196,148.0698
-41.1245,148.0796
-41.1244,148.0824
-41.1289,148.0792
-41.1321,148.0822
-41.1534,148.0051
-41.1684,147.9348
-41.1649,147.8895
-41.2765,147.8586
-41.3329,147.8407
-41.3724,147.8337
-41.3807,147.5904
-41.3931,147.6017
-41.3977,147.6087
-41.4074,147.6063
-41.4092,147.6192
-41.4264,147.6158
-41.4281,147.6287
-41.4514,147.6273
-41.4591,147.6340
-41.4573,147.6376
-41.4643,147.6436
-41.4654,147.6413
-41.4707,147.6459
-41.4741,147.6396
-41.4784,147.6480
-41.5135,147.5789
-41.5060,147.5719
-41.5112,147.5621
-41.5074,147.5399
-41.5147,147.5258
-41.5162,147.5274
-41.5205,147.5261
-41.5304,147.5065
-41.5220,147.4987
-41.5286,147.4863
-41.5180,147.4761
-41.5218,147.4685
-41.5205,147.4671
-41.5233,147.4615
-41.5220,147.4603
-41.5387,147.4281
-41.5430,147.4320
-41.5561,147.4064
-41.5497,147.4008
-41.5560,147.3879
-41.5363,147.3678
-41.5120,147.3467
-41.5293,147.3127
-41.5204,147.3028
-41.5296,147.2858
-41.5216,147.2781
-41.5309,147.2610
-41.5244,147.2552
-41.5281,147.2485
-41.5243,147.2444
-41.5124,147.2331
-41.5108,147.2361
-41.5070,147.2329
-41.5081,147.2305
-41.4992,147.2270
-41.4981,147.2240
-41.4957,147.2243
-41.4936,147.2222
-41.5051,147.2071
-41.5101,147.1980
-41.5053,147.1937
-41.5083,147.1880
-41.4999,147.1793
-41.5020,147.1741
-41.4989,147.1717
-41.4952,147.1718
-41.4928,147.1693
-41.5010,147.1539
-41.4951,147.1477
-41.5012,147.1363
-41.4905,147.1260
-41.4830,147.1400
-41.4763,147.1336
-41.4775,147.1289
-41.4754,147.1297
-41.4737,147.1282
-41.4743,147.1241
-41.4708,147.1206
-41.4732,147.1150
-41.4655,147.1017
-41.4647,147.1024
-41.4605,147.0987
-41.4574,147.1002
-41.4521,147.0890
-41.4467,147.0858
-41.4445,147.0794
-41.4455,147.0772
-41.4489,147.0749
-41.4512,147.0754
-41.4541,147.0690
-41.4567,147.0729
-41.4553,147.0679
-41.4588,147.0655
-41.4373,147.0318
-41.4354,147.033
-41.4332,147.0312
-41.4309,147.0322
-41.4276,147.0296
-41.4256,147.0304
-41.4452,147.0079
-41.4434,146.994
-41.4318,146.9961
-41.4290,146.9720
-41.4248,146.9660
-41.4181,146.9496
-41.4084,146.9343
-41.4051,146.9378
-41.4002,146.9293
-41.3993,146.9313
-41.3910,146.9263
-41.3902,146.9288
-41.3894,146.9281
-41.3848,146.9180
-41.3778,146.9102
-41.3865,146.8999
-41.3912,146.8728
-41.3837,146.8254
-41.3852,146.8252
-41.3824,146.8189
-41.3795,146.8195
-41.3783,146.8096
-41.3751,146.8094
-41.3743,146.8028
-41.3773,146.8011
-41.3770,146.7993
-41.3803,146.7985
-41.3782,146.7833
-41.3772,146.7836
-41.3755,146.7709
-41.3552,146.6975
-41.3200,146.7065
-41.3187,146.7011
-41.3164,146.7006
-41.2977,146.7051
-41.3027,146.7088
-41.3023,146.7149
-41.3054,146.7143
-41.3059,146.7184
-41.2996,146.7198
-41.3006,146.7274
-41.2967,146.7283
-41.2972,146.7332
-41.2960,146.7334
-41.2975,146.7494
-41.2875,146.7516
-41.2887,146.7617
-41.2871,146.7620
-41.1702,146.6956
-41.1577,146.6992
-41.1329,146.6956
-41.1110,146.6646
-41.1102,146.6584
-41.0968,146.6612
end
start,Bass
-41.1126,146.8134
-41.1126,146.8136
-41.1130,146.8137
-41.1129,146.8136
-41.1126,146.8134
end
start,Bass
-41.1495,146.7639
-41.1495,146.7636
-41.1494,146.7638
-41.1495,146.7639
end
start,Bass
-41.1652,146.7706
-41.1643,146.7715
-41.1645,146.7717
