start,Lingiari
-13.7099,136.5280
-13.7718,136.5417
-13.7927,136.5195
-13.7376,136.4663
-13.7201,136.4715
-13.7185,136.5145
-13.6985,136.5098
-13.7099,136.5280
end
start,Lingiari
-11.4771,133.4506
-11.4666,133.4701
-11.5184,133.4923
-11.5059,133.4344
-11.5466,133.3849
-11.5061,133.4015
-11.4884,133.3900
-11.4771,133.4506
end
start,Lingiari
-11.5768,132.1137
-11.5689,132.1349
-11.6062,132.1493
-11.6272,132.1339
-11.6205,132.1110
-11.5768,132.1137
end
start,Lingiari
-11.6477,133.3926
-11.6735,133.3960
-11.6815,133.3702
-11.6234,133.3495
-11.5843,133.4094
-11.5950,133.4737
-11.6232,133.4800
-11.6170,133.4466
-11.6453,133.4210
-11.6250,133.4124
-11.6348,133.3868
-11.6477,133.3926
end
start,Lingiari
-11.4902,136.4490
-11.4667,136.4728
-11.5319,136.4490
-11.5656,136.3742
-11.5346,136.3665
-11.5503,136.3811
