start,Lingiari
-13.4656,136.1314
-13.4525,136.1359
-13.4459,136.1349
-13.4446,136.1337
-13.4191,136.1417
-13.3932,136.1334
-13.3931,136.1334
-13.3931,136.1333
-13.3761,136.1279
-13.3759,136.1274
-13.3745,136.1270
-13.3700,136.1207
-13.3652,136.1093
-13.3648,136.1054
-13.3582,136.0925
-13.3582,136.0925
-13.3581,136.0979
-13.3617,136.1060
-13.3610,136.1094
-13.3576,136.1122
-13.3575,136.1152
-13.3575,136.1152
-13.3677,136.1196
-13.3738,136.1336
-13.3759,136.1358
-13.3832,136.1373
-13.3864,136.1407
-13.3884,136.1459
-13.3846,136.1505
-13.3846,136.1505
-13.3846,136.1505
-13.4004,136.1523
-13.4174,136.1618
-13.4209,136.1687
-13.4375,136.1771
-13.4375,136.1771
-13.4533,136.1951
-13.4550,136.1999
-13.4514,136.2048
-13.4691,136.1994
-13.4694,136.1989
-13.4663,136.1852
-13.4635,136.1812
-13.4644,136.1770
-13.4685,136.1707
-13.4717,136.1678
-13.4771,136.1666
-13.4789,136.1669
-13.4798,136.1685
-13.4853,136.1655
-13.4853,136.1655
-13.4838,136.1632
-13.4821,136.1632
-13.4819,136.1604
-13.4797,136.1606
-13.4741,136.1509
-13.4704,136.1520
-13.4683,136.1510
-13.4673,136.1468
-13.4703,136.1421
-13.4703,136.1421
-13.4703,136.1421
-13.4703,136.1421
-13.4753,136.1422
-13.4764,136.1446
-13.4773,136.1419
-13.4789,136.1438
-13.4871,136.1435
-13.4953,136.1491
-13.4953,136.1539
-13.4914,136.1544
-13.4913,136.1557
-13.5022,136.1628
-13.5050,136.1627
-13.5098,136.1677
-13.5098,136.1677
-13.5227,136.1612
-13.5233,136.1597
-13.5189,136.1590
-13.5187,136.1551
-13.5193,136.1529
-13.5250,136.1491
-13.5279,136.1480
-13.5307,136.1495
-13.5462,136.1459
-13.5520,136.1466
-13.5602,136.1424
-13.5596,136.1418
-13.5641,136.1405
-13.5567,136.1354
-13.5523,136.1368
-13.5492,136.1361
-13.5483,136.1322
-13.5438,136.1266
-13.5379,136.1294
-13.5346,136.1327
-13.5363,136.1349
-13.5335,136.1394
-13.5307,136.1411
-13.5215,136.1416
-13.5176,136.1470
-13.5110,136.1500
-13.5050,136.1471
-13.5048,136.1444
-13.5004,136.1434
-13.4980,136.1391
-13.5035,136.1269
-13.4986,136.1315
-13.4919,136.1293
-13.4904,136.1317
-13.4880,136.1321
-13.4822,136.1279
-13.4818,136.1249
-13.4837,136.1225
-13.4823,136.1218
end
start,Lingiari
-13.4618,136.2443
-13.4618,136.2443
-13.4618,136.2443
-13.4537,136.2432
-13.4488,136.2440
-13.4458,136.2428
-13.4452,136.2421
-13.4392,136.2414
-13.4392,136.2414
-13.4392,136.2414
-13.4467,136.2554
-13.4480,136.2567
-13.4478,136.2574
-13.4504,136.2624
-13.4529,136.2645
-13.4542,136.2696
-13.4542,136.2696
-13.4542,136.2696
-13.4638,136.2662
-13.4620,136.2655
-13.4596,136.2586
-13.4578,136.2557
-13.4543,136.2545
-13.4536,136.2514
-13.4562,136.2456
-13.4603,136.2468
-13.4618,136.2443
end
start,Lingiari
-12.5563,130.8637
-12.5558,130.8638
-12.5555,130.8642
-12.5548,130.8638
-12.5519,130.8639
-12.5500,130.8657
-12.5461,130.8641
-12.5473,130.8717
-12.5583,130.8683
-12.5563,130.8637
end
start,Lingiari
-12.1839,136.1076
-12.1749,136.1277
-12.1776,136.1298
-12.1709,136.1366
-12.1695,136.1397
-12.1695,136.1409
-12.1698,136.1411
-12.1721,136.1412
-12.1734,136.1430
-12.1735,136.1438
-12.1808,136.1492
-12.1856,136.1506
-12.1865,136.1524
-12.1888,136.1525
-12.1901,136.1560
-12.1901,136.1560
-12.1901,136.1560
-12.1948,136.1322
-12.1948,136.1288
-12.1956,136.1278
-12.1987,136.1120
-12.1982,136.1100
-12.1880,136.1075
-12.1880,136.1077
-12.1875,136.1074
-12.1847,136.1067
-12.1841,136.1077
-12.1839,136.1076
end
start,Lingiari
-12.1612,136.7510
-12.1612,136.7519
-12.1623,136.7513
-12.1621,136.7501
-12.1612,136.7510
end
start,Lingiari
-12.5621,130.5155
-12.5776,130.5188
-12.5779,130.5183
-12.5828,130.5162
-12.5877,130.5188
-12.5893,130.5213
-12.5893,130.5213
-12.5902,130.5177
-12.5883,130.5141
-12.5907,130.5100
-12.6042,130.5036
-12.6102,130.5029
-12.6127,130.5041
-12.6128,130.5043
-12.6244,130.5107
-12.6246,130.5107
-12.6261,130.5117
-12.6335,130.5158
-12.6433,130.5147
-12.6476,130.5178
-12.6505,130.5178
-12.6590,130.5297
-12.6677,130.5301
-12.6718,130.5361
-12.6786,130.5408
-12.6800,130.5416
-12.6923,130.5390
-12.6966,130.5408
-12.7094,130.5397
-12.7095,130.5391
-12.7004,130.5249
-12.6988,130.5242
-12.6905,130.5242
-12.6847,130.5270
-12.6751,130.5261
-12.6705,130.5241
-12.6617,130.5240
-12.6617,130.5240
-12.6528,130.5152
-12.6528,130.5152
-12.6284,130.4913
-12.6279,130.4912
-12.6236,130.4866
-12.6181,130.4872
-12.6194,130.4887
-12.6089,130.4915
-12.6051,130.4947
-12.5964,130.4949
-12.5908,130.4928
-12.5852,130.4853
-12.5803,130.4847
-12.5803,130.4847
-12.5790,130.4875
-12.5807,130.4883
-12.5817,130.4868
-12.5817,130.4903
-12.5742,130.5081
-12.5700,130.5113
-12.5653,130.5104
-12.5621,130.5155
end
start,Lingiari
-12.6241,130.3934
-12.6411,130.3883
-12.6421,130.3873
-12.6423,130.3802
-12.6415,130.3801
-12.6424,130.3792
-12.6427,130.3694
-12.6423,130.3689
-12.6396,130.3691
-12.6362,130.3700
-12.6357,130.3694
-12.6194,130.3706
-12.6194,130.3706
-12.6241,130.3934
end
start,Lingiari
-12.6356,130.9524
-12.6228,130.9454
-12.6216,130.9452
-12.6181,130.9474
-12.6220,130.9505
-12.6264,130.9530
-12.6287,130.9534
-12.6356,130.9524
-12.6356,130.9524
end
start,Lingiari
-12.6081,130.4083
-12.6151,130.4018
-12.6024,130.3850
-12.6007,130.3916
-12.6082,130.4043
-12.6071,130.4062
-12.6081,130.4083
end
start,Lingiari
-12.5916,130.3915
-12.5813,130.4043
-12.5957,130.4158
-12.5962,130.4156
-12.6018,130.4006
-12.5916,130.3915
-12.5916,130.3915
end
start,Lingiari
-12.5745,130.4315
-12.5920,130.4167
-12.5920,130.4167
-12.5920,130.4167
-12.5833,130.4099
-12.5826,130.4096
-12.5815,130.4085
-12.5780,130.4058
-12.5766,130.4056
-12.5635,130.4206
-12.5635,130.4206
-12.5635,130.4206
-12.5745,130.4315
end
start,Lingiari
-12.1078,136.7966
-12.1051,136.7967
-12.0971,136.8013
-12.0920,136.7999
-12.0887,136.7970
-12.0824,136.8086
-12.0815,136.8092
-12.0768,136.8171
-12.0760,136.8206
-12.0727,136.8239
-12.0779,136.8240
-12.0797,136.8233
-12.1154,136.8219
-12.1256,136.8231
-12.1276,136.8251
-12.1382,136.8253
-12.1370,136.8202
-12.1371,136.8200
-12.1342,136.8065
-12.1332,136.8053
-12.1332,136.8022
-12.1316,136.8033
-12.1274,136.8019
-12.1329,136.8002
-12.1329,136.8002
-12.1255,136.8006
-12.1175,136.7980
-12.1078,136.7966
end
start,Lingiari
-12.1283,136.0276
-12.1244,136.0274
-12.1205,136.0289
-12.1035,136.0260
-12.1035,136.0260
-12.1035,136.0260
-12.0926,136.0355
-12.0926,136.0355
-12.0980,136.0396
-12.1015,136.0475
-12.1015,136.0475
-12.1060,136.0369
-12.1113,136.0392
-12.1106,136.0360
-12.1119,136.0358
-12.1131,136.0387
-12.1172,136.0407
-12.1193,136.0406
-12.1195,136.0388
-12.1228,136.0406
-12.1233,136.0405
-12.1248,136.0383
-12.1254,136.0398
-12.1304,136.0382
-12.1302,136.0356
-12.1334,136.0372
-12.1334,136.0372
-12.1336,136.0339
-12.1356,136.0325
-12.1372,136.0340
-12.1455,136.0319
-12.1479,136.0325
-12.1520,136.0312
-12.1525,136.0309
-12.1526,136.0310
-12.1592,136.0289
-12.1592,136.0287
-12.1337,136.0279
-12.1313,136.0284
-12.1283,136.0276
end
start,Lingiari
-12.1176,131.0023
-12.1151,131.0056
-12.1095,131.0152
-12.1056,131.0183
-12.0952,131.0321
-12.0952,131.0321
-12.0952,131.0321
-12.1090,131.0545
-12.1090,131.0545
-12.1090,131.0545
-12.1090,131.0545
-12.1090,131.0545
-12.1015,131.0522
-12.1004,131.0485
-12.0936,131.0438
-12.0936,131.0438
-12.1171,131.0719
-12.1171,131.0719
-12.1231,131.0537
-12.1231,131.0537
-12.1232,131.0535
-12.1301,131.0326
-12.1301,131.0326
-12.1301,131.0326
-12.1185,131.0036
-12.1176,131.0023
end
start,Lingiari
-12.1090,131.0545
-12.1011,131.0490
-12.1013,131.0495
-12.1090,131.0545
end
start,Lingiari
-12.0179,131.1221
-12.0233,131.1052
-12.0231,131.1030
-12.0149,131.0728
-12.0149,131.0728
-12.0145,131.0838
-12.0009,131.1271
-12.0009,131.1271
-12.0009,131.1271
-12.0146,131.1354
-12.0146,131.1354
-12.0146,131.1354
-12.0179,131.1221
-12.0179,131.1221
-12.0179,131.1221
end
start,Lingiari
-12.0875,132.3374
-12.0761,132.4013
-12.1131,132.4185
-12.1140,132.4179
-12.1150,132.4194
-12.1205,132.4219
-12.1205,132.4219
-12.1205,132.4219
-12.1386,132.4099
-12.1392,132.4080
-12.1389,132.3875
-12.1389,132.3875
-12.0875,132.3374
end
start,Lingiari
-12.1054,134.9241
-12.1116,134.9199
-12.1127,134.9182
-12.1135,134.9187
-12.1200,134.9143
-12.1203,134.9116
-12.1213,134.9135
-12.1381,134.9024
-12.1385,134.9011
-12.1358,134.8942
-12.1337,134.8946
-12.1259,134.8690
-12.1259,134.8690
-12.1221,134.8688
-12.1207,134.8692
-12.1177,134.8749
-12.1191,134.8702
-12.1165,134.8685
-12.0753,134.8663
-12.0751,134.8664
-12.0706,134.8661
-12.0706,134.8661
-12.0706,134.8661
-12.0660,134.8632
-12.0658,134.8629
-12.0429,134.8476
-12.0429,134.8476
-12.0511,134.8682
-12.0570,134.8734
-12.0613,134.8802
-12.0648,134.9024
-12.0673,134.9087
-12.0691,134.9110
-12.1054,134.9241
end
start,Lingiari
-12.0700,131.0633
-12.0527,131.0983
-12.0527,131.0983
-12.0593,131.1264
-12.0596,131.1264
-12.0745,131.1069
-12.0751,131.1042
