start,Denison
-41.5101,147.1980
-41.5053,147.1937
-41.5083,147.1880
-41.4999,147.1793
-41.5019,147.1737
-41.4988,147.1714
-41.4950,147.1716
-41.4929,147.1692
-41.5010,147.1539
-41.4951,147.1477
-41.5012,147.1363
-41.4938,147.1291
-41.5084,147.1025
-41.5072,147.1003
-41.5129,147.0942
-41.5100,147.0884
-41.5234,147.0681
-41.5195,147.0679
-41.5168,147.0654
-41.5146,147.0668
-41.5094,147.0550
-41.5055,147.0523
-41.4940,147.0767
-41.4824,147.0737
-41.4782,147.0641
-41.4739,147.0667
-41.4722,147.0698
-41.4589,147.0640
-41.4553,147.0679
-41.4567,147.0728
-41.4545,147.0689
-41.4526,147.0736
-41.4494,147.0622
-41.4449,147.0552
-41.4414,147.0544
-41.4367,147.0479
-41.4271,147.0430
-41.4198,147.0456
-41.4200,147.0499
-41.4132,147.0503
-41.4137,147.047
-41.4118,147.0461
-41.4187,147.0434
-41.4193,147.0378
-41.4154,147.0305
-41.4129,147.0306
-41.4106,147.0263
-41.4107,147.0158
-41.4039,147.0057
-41.4034,146.9915
-41.3996,146.9918
-41.3962,146.9947
-41.3954,147.0025
-41.3928,147.0080
-41.3837,147.0017
-41.3805,147.0027
-41.3771,147.0063
-41.3781,147.0134
-41.3759,147.0171
-41.3754,147.0238
-41.3709,147.0315
-41.3706,147.0417
-41.3594,147.0303
-41.3557,147.0337
end
start,Bass
-41.0638,146.7939
-41.0638,146.7938
-41.0638,146.7939
-41.0638,146.7939
end
start,Bass
-39.9123,147.8000
-39.8737,147.7481
-39.8353,147.8036
-39.8370,147.8438
-39.8088,147.8408
-39.7867,147.8697
-39.7507,147.8479
-39.7613,147.8841
-39.7195,147.9417
-39.7270,147.9634
-39.7320,147.9557
-39.7449,147.9559
-39.7728,147.9667
-39.7591,147.9675
-39.7792,147.9907
-39.7301,147.9606
-39.8974,148.1224
-39.8949,148.1079
-39.9466,148.1860
-39.9425,148.1709
-39.9520,148.1772
-39.9651,148.2911
-40.0679,148.2862
-40.1210,148.2232
-40.1164,148.2791
-40.0807,148.2876
-40.2091,148.3341
-40.2313,148.2832
