start,Barker
-35.2668,136.9588
-35.2667,136.9551
-35.2693,136.9452
-35.2709,136.9457
-35.2737,136.9433
-35.2756,136.9447
-35.2783,136.9422
-35.2821,136.9440
-35.2821,136.9440
-35.2831,136.9406
-35.2824,136.9349
-35.2842,136.9323
-35.2834,136.9287
-35.2861,136.9237
-35.2854,136.9199
-35.2879,136.9150
-35.2858,136.8997
-35.2890,136.8963
-35.2930,136.8969
-35.2940,136.8944
-35.2961,136.8941
-35.2976,136.8919
-35.2982,136.8898
-35.2965,136.8880
-35.2969,136.8857
-35.3003,136.8827
-35.3003,136.8827
-35.3003,136.8827
-35.2984,136.8806
-35.2971,136.8812
-35.2933,136.8782
-35.2868,136.8705
-35.2870,136.8679
-35.2588,136.8367
-35.2501,136.8296
-35.2456,136.8221
-35.2456,136.8221
-35.2456,136.8221
-35.2443,136.8241
-35.2454,136.8311
-35.2412,136.8342
-35.2382,136.8328
-35.2351,136.8373
-35.2351,136.8379
-35.2335,136.8421
-35.2288,136.8464
-35.2194,136.8463
-35.2192,136.8462
-35.1901,136.8457
-35.1901,136.8491
-35.1922,136.8516
-35.1920,136.8614
-35.1941,136.8659
-35.1930,136.8688
-35.1904,136.8699
-35.1918,136.8729
-35.1894,136.8759
-35.1889,136.8812
-35.1858,136.8832
-35.1852,136.8883
-35.1852,136.8883
-35.1852,136.8883
-35.1852,136.8883
-35.1852,136.8883
-35.1781,136.8943
-35.1650,136.8949
-35.1601,136.8964
-35.1598,136.8974
-35.1566,136.8976
-35.1566,136.8976
-35.1568,136.9021
-35.1535,136.9036
-35.1547,136.9058
-35.1535,136.9131
-35.1434,136.9200
-35.1403,136.9326
-35.1334,136.9382
-35.1304,136.9389
-35.1291,136.9411
-35.1291,136.9411
-35.1291,136.9411
-35.1291,136.9411
-35.0912,136.9572
-35.0890,136.9600
-35.0823,136.9610
-35.0642,136.9551
-35.0466,136.9457
-35.0320,136.9362
-35.0290,136.9302
-35.0290,136.9302
-35.0228,136.9384
-35.0220,136.9440
-35.0169,136.9463
-35.0103,136.9551
-35.0104,136.9567
-35.0051,136.9645
-35.0004,136.9682
-35.0004,136.9682
-35.0004,136.9682
-34.9956,136.9708
-34.9863,136.9720
-34.9780,136.9713
-34.9508,136.9750
-34.9497,136.9775
-34.9471,136.9758
-34.9412,136.9763
-34.9407,136.9805
-34.9391,136.9800
-34.9375,136.9828
-34.9360,136.9858
-34.9368,136.9876
-34.9348,136.9888
-34.9364,136.9918
-34.9339,136.9966
-34.9322,136.9964
-34.9289,136.9997
-34.9266,137.0028
-34.9273,137.0046
-34.9204,137.0125
-34.9109,137.0138
-34.9086,137.0130
-34.8960,137.0134
-34.8960,137.0138
-34.8929,137.0136
-34.8929,137.0136
-34.8939,137.0165
-34.9000,137.0201
-34.9004,137.0351
-34.9013,137.0383
-34.9052,137.0497
-34.9103,137.0567
-34.9172,137.0723
-34.9192,137.0798
-34.9199,137.0933
-34.9175,137.1308
-34.9182,137.1460
-34.9163,137.1560
-34.9085,137.1782
-34.9075,137.1804
-34.9030,137.2121
-34.9044,137.2244
-34.901,137.2414
-34.8984,137.2446
-34.8970,137.2544
-34.8981,137.2570
-34.8957,137.2634
-34.8939,137.2764
-34.8939,137.2764
-34.9144,137.2963
-34.9231,137.3025
-34.9278,137.3092
-34.9278,137.3092
-34.9278,137.3092
-34.9278,137.3092
-34.9313,137.3204
-34.9298,137.3469
-34.9298,137.3469
-34.9323,137.3481
-34.9333,137.3510
-34.9342,137.3521
-34.9421,137.3528
-34.9465,137.3564
-34.9497,137.3608
-34.9537,137.3749
-34.9537,137.3749
-34.9537,137.3749
-34.9537,137.3749
-34.9478,137.3959
-34.9386,137.4153
-34.9249,137.4347
-34.9081,137.4501
-34.9081,137.4501
-34.9081,137.4501
-34.8844,137.4577
-34.8681,137.4565
-34.8473,137.4593
-34.8405,137.4581
-34.8231,137.4599
-34.8076,137.4596
-34.8076,137.4596
-34.8076,137.4596
-34.7913,137.4649
-34.7745,137.4733
-34.7586,137.4771
-34.7350,137.4786
-34.7285,137.4803
-34.7164,137.4849
-34.7127,137.4877
-34.6881,137.4910
-34.6878,137.4910
-34.6643,137.4972
-34.6635,137.4982
-34.6488,137.5054
-34.6179,137.5094
