start,Ballarat
-36.7582,144.7288
-36.7585,144.7345
-36.7557,144.7408
-36.7575,144.7503
-36.7515,144.7550
-36.7472,144.7669
-36.7492,144.7718
-36.7513,144.7713
-36.7507,144.7946
-36.7545,144.7947
-36.7559,144.7924
-36.7580,144.7947
-36.7706,144.7947
-36.7706,144.7848
-36.7805,144.7847
-36.7800,144.7917
-36.7997,144.7920
-36.7997,144.7867
-36.8053,144.7873
-36.8326,144.7985
-36.8398,144.8036
-36.8398,144.8110
-36.8525,144.8186
-36.8542,144.8213
-36.8562,144.8194
-36.8554,144.8311
-36.8596,144.8302
-36.8740,144.8466
-36.8750,144.8529
-36.8794,144.8509
-36.8802,144.8535
end
start,Calwell
-37.6764,144.9778
-37.6769,144.9723
-37.6801,144.9745
-37.6810,144.9725
-37.6840,144.9714
-37.6881,144.9707
-37.6892,144.9737
-37.6909,144.9720
-37.6946,144.9190
-37.6943,144.9030
-37.7275,144.8601
-37.7262,144.8489
-37.7223,144.842
-37.7205,144.8403
-37.7171,144.8422
-37.7178,144.8397
-37.7162,144.8376
-37.7125,144.8415
-37.7095,144.8380
-37.7058,144.8383
-37.7033,144.8352
-37.7055,144.8308
-37.7068,144.8318
-37.7068,144.8288
-37.7062,144.8273
-37.7056,144.8287
-37.7045,144.8281
-37.7025,144.8248
-37.7011,144.8250
-37.7007,144.8281
-37.6982,144.8246
-37.7000,144.8185
-37.6980,144.8097
-37.6955,144.8112
-37.6921,144.8207
-37.6873,144.8187
-37.6835,144.8202
-37.6815,144.8100
-37.6830,144.8062
-37.6776,144.8056
-37.6755,144.8033
-37.6697,144.8049
-37.6662,144.8024
-37.6650,144.8088
-37.6617,144.8044
-37.6611,144.7999
-37.6589,144.8062
-37.6576,144.7991
-37.6547,144.7976
-37.6535,144.8003
-37.6556,144.8037
-37.6528,144.8057
-37.6550,144.8133
-37.6410,144.8160
-37.6442,144.8338
-37.6296,144.8363
-37.6276,144.8183
-37.6080,144.8215
-37.6071,144.8071
-37.6007,144.8179
-37.5981,144.8061
-37.5983,144.8133
-37.5957,144.8132
-37.5949,144.8160
-37.5933,144.8115
-37.5905,144.8113
-37.5907,144.8072
-37.5868,144.8101
-37.5874,144.8133
-37.5818,144.8089
-37.5817,144.8188
-37.5788,144.8220
-37.5773,144.8219
-37.5760,144.8191
-37.5721,144.8191
-37.5686,144.8254
-37.5689,144.8274
-37.5673,144.8274
-37.5640,144.8324
-37.5612,144.8284
-37.5585,144.8305
-37.5581,144.8271
-37.5552,144.8284
-37.5560,144.8318
-37.5534,144.8385
-37.5573,144.8375
-37.5530,144.8419
-37.5541,144.8436
-37.5569,144.8434
-37.5569,144.8479
-37.5541,144.8450
-37.5526,144.8492
-37.5493,144.8499
-37.5478,144.8484
-37.5482,144.8533
-37.5455,144.8534
-37.5451,144.8565
-37.5437,144.8545
-37.5413,144.8545
-37.5412,144.8580
-37.5379,144.8518
-37.5356,144.8504
-37.5345,144.8521
-37.5325,144.8516
-37.5353,144.8541
-37.5310,144.8555
-37.5316,144.8588
-37.5288,144.8594
-37.5293,144.8563
-37.5269,144.8560
-37.5248,144.8589
-37.5279,144.8615
-37.5257,144.8621
-37.5240,144.8666
-37.5175,144.8678
-37.5139,144.8715
-37.5115,144.8666
-37.5095,144.8689
-37.5068,144.8663
-37.5057,144.8709
-37.5033,144.8677
-37.5046,144.8728
-37.5021,144.8754
-37.5054,144.8776
-37.5050,144.8831
-37.5030,144.8848
-37.5049,144.8871
-37.5039,144.8903
-37.5137,144.9772
-37.5160,144.9744
-37.5198,144.9762
-37.5255,144.9742
-37.5258,144.9728
-37.5289,144.9767
-37.5316,144.9735
-37.5352,144.9725
-37.5347,144.9687
-37.5396,144.9632
-37.5394,144.9602
-37.5425,144.9594
-37.5450,144.9537
-37.5498,144.9538
-37.5566,144.9607
-37.5573,144.9639
-37.5602,144.9655
-37.5671,144.9632
-37.5735,144.9652
-37.5775,144.9623
-37.5793,144.9632
-37.5825,144.9565
-37.5851,144.9584
-37.5857,144.9569
-37.5911,144.9588
-37.5912,144.9558
-37.5954,144.9547
-37.5964,144.9530
-37.6068,144.9523
-37.6074,144.9464
-37.6112,144.9504
-37.6106,144.9524
-37.6131,144.9518
-37.6136,144.9539
-37.6167,144.9559
-37.6192,144.9553
-37.6208,144.9573
-37.6232,144.9527
-37.6237,144.9554
-37.6260,144.9556
-37.6277,144.9587
-37.6318,144.9574
-37.6344,144.9585
-37.6354,144.9649
-37.6382,144.9668
-37.6384,144.9687
-37.6404,144.9702
-37.6430,144.9693
-37.6432,144.9710
-37.6496,144.9761
-37.6555,144.9748
-37.6582,144.9769
-37.6593,144.9722
-37.6608,144.9734
-37.6631,144.9721
-37.6653,144.9756
-37.6712,144.9739
-37.6717,144.9762
-37.6738,144.9749
-37.6764,144.9778
end
start,Gippsland
-38.6793,146.8283
-38.6527,146.8580
-38.6541,146.8355
-38.6383,146.8785
-38.6463,146.8685
-38.6502,146.8641
-38.6793,146.8283
end
start,Gippsland
-38.6252,146.8014
-38.6123,146.8242
-38.6207,146.8252
-38.6168,146.8806
-38.6505,146.8218
-38.6453,146.7939
-38.6252,146.8014
end
start,Gippsland
-38.6763,146.7076
-38.6762,146.7078
-38.6758,146.7103
-38.6762,146.7093
-38.6763,146.7076
end
start,Gippsland
-38.6849,146.7095
-38.6872,146.7157
-38.6908,146.6962
-38.6767,146.7077
-38.6849,146.7095
end
start,Gippsland
